truetaxa,del13c,del13c_se,n,min,max,del13c_sd,del13c_var,genus,division
Acetabularia acetabulum,-11.1,NA,1,-11.1,-11.1,NA,NA,Acetabularia,Chlorophyta
Acetabularia sp. 1,-12.3,NA,1,-12.3,-12.3,NA,NA,Acetabularia,Chlorophyta
Acrosiphonia arcta,-17.55,NA,1,-17.55,-17.55,NA,NA,Acrosiphonia,Chlorophyta
Acrosiphonia coalita,-17.54775,NA,1,-17.55,-17.55,NA,NA,Acrosiphonia,Chlorophyta
Blidingia marginata,-16.6,NA,1,-16.6,-16.6,NA,NA,Blidingia,Chlorophyta
Boergesenia forbesii,-16.7,NA,1,-16.7,-16.7,NA,NA,Boergesenia,Chlorophyta
Bryopsis plumosa,-19.35,NA,1,-19.35,-19.35,NA,NA,Bryopsis,Chlorophyta
Caulerpa brownii,-28.925,1.375,2,-30.3,-27.55,1.9445436483,3.78125,Caulerpa,Chlorophyta
Caulerpa cactoides,-21.525,0.175,2,-21.7,-21.35,0.2474873734,0.06125,Caulerpa,Chlorophyta
Caulerpa flexilis,-31.1375,0.6518739014,4,-32.98,-30.18,1.3037478028,1.6997583333,Caulerpa,Chlorophyta
Caulerpa geminata,-22.9175,0.865480358,4,-24.93,-20.7,1.7309607159,2.996225,Caulerpa,Chlorophyta
Caulerpa hodkinsoniae,-25.565,0.705,2,-26.27,-24.86,0.9970205615,0.99405,Caulerpa,Chlorophyta
Caulerpa longifolia,-28.55,NA,1,-28.55,-28.55,NA,NA,Caulerpa,Chlorophyta
Caulerpa mexicana,-20.46,NA,1,-20.46,-20.46,NA,NA,Caulerpa,Chlorophyta
Caulerpa microphysa,-20.5983333333,0.4771681511,6,-22.79,-19.6,1.1688184918,1.3661366667,Caulerpa,Chlorophyta
Caulerpa obscura,-29.772,0.6394091022,10,-33.33,-25.92,2.0219891197,4.08844,Caulerpa,Chlorophyta
Caulerpa prolifera,-13.18,0.72,2,-13.9,-12.46,1.0182337649,1.0368,Caulerpa,Chlorophyta
Caulerpa racemosa,-16.55,NA,1,-16.55,-16.55,NA,NA,Caulerpa,Chlorophyta
Caulerpa scalpelliformis,-18.63,0.77,2,-19.4,-17.86,1.088944443,1.1858,Caulerpa,Chlorophyta
Caulerpa serrulata,-12.21,NA,1,-12.21,-12.21,NA,NA,Caulerpa,Chlorophyta
Caulerpa taxifolia,-18.31,0.3840138886,4,-19.27,-17.67,0.7680277773,0.5898666667,Caulerpa,Chlorophyta
Caulerpa trifaria,-32.814,0.7984960864,5,-35.08,-31.2,1.785491529,3.18798,Caulerpa,Chlorophyta
Chaetomorpha coliformis,-17.63,3.03,2,-20.66,-14.6,4.285067094,18.3618,Chaetomorpha,Chlorophyta
Chaetomorpha linum,-18.7,0.7946743187,11,-21.8,-14.73,2.6356365455,6.94658,Chaetomorpha,Chlorophyta
Chaetomorpha sp. 1,-16.15,0.49,2,-16.64,-15.66,0.6929646456,0.4802,Chaetomorpha,Chlorophyta
Chlorodesmis fastigiata,-19.5,NA,1,-19.5,-19.5,NA,NA,Chlorodesmis,Chlorophyta
Chlorodesmis sp. 1,-17.135,0.255,2,-17.39,-16.88,0.3606244584,0.13005,Chlorodesmis,Chlorophyta
Cladophora albida,-10.83,NA,1,-10.83,-10.83,NA,NA,Cladophora,Chlorophyta
Cladophora columbiana,-13.765,NA,1,-13.77,-13.77,NA,NA,Cladophora,Chlorophyta
Cladophora feredayi,-15.8,0.9565563235,4,-18.5,-14.3,1.913112647,3.66,Cladophora,Chlorophyta
Cladophora glomerata,-31.9166666667,0.6865412507,9,-35.57,-28.63,2.059623752,4.24205,Cladophora,Chlorophyta
Cladophora hutchinsonia,-12.15,NA,1,-12.15,-12.15,NA,NA,Cladophora,Chlorophyta
Cladophora laetevirens,-15.64,NA,1,-15.64,-15.64,NA,NA,Cladophora,Chlorophyta
Cladophora prolifera,-17.605,0.105,2,-17.71,-17.5,0.148492424,0.02205,Cladophora,Chlorophyta
Cladophora rupestris,-16.3464285714,0.6299010974,14,-21.3,-13.33,2.3568740939,5.5548554945,Cladophora,Chlorophyta
Cladophora sericea,-16.66,NA,1,-16.66,-16.66,NA,NA,Cladophora,Chlorophyta
Cladophora sp. 1,-14.51,0.6668583058,3,-15.67,-13.36,1.1550324671,1.3341,Cladophora,Chlorophyta
Cladophora sp. 2,-15.2,NA,1,-15.2,-15.2,NA,NA,Cladophora,Chlorophyta
Cladophora sp. 3,-16.12,NA,1,-16.12,-16.12,NA,NA,Cladophora,Chlorophyta
Cladophora sp. 4,-17.25,NA,1,-17.25,-17.25,NA,NA,Cladophora,Chlorophyta
Cladophora valonioides,-18.12,NA,1,-18.12,-18.12,NA,NA,Cladophora,Chlorophyta
Codium adhaerens,-7.73,NA,1,-7.73,-7.73,NA,NA,Codium,Chlorophyta
Codium arabicum,-10.3,NA,1,-10.3,-10.3,NA,NA,Codium,Chlorophyta
Codium bursa,-11.335,1.035,2,-12.37,-10.3,1.4637110371,2.14245,Codium,Chlorophyta
Codium convulutum,-14.54,NA,1,-14.54,-14.54,NA,NA,Codium,Chlorophyta
Codium decorticatum,-11.98,NA,1,-11.98,-11.98,NA,NA,Codium,Chlorophyta
Codium fragile,-14.2721428571,1.018922712,14,-24.5,-10.23,3.8124596917,14.5348489011,Codium,Chlorophyta
Codium hubsii,-8.17,NA,1,-8.17,-8.17,NA,NA,Codium,Chlorophyta
Codium mamillosum,-16.765,2.565,2,-19.33,-14.2,3.6274577875,13.15845,Codium,Chlorophyta
Codium muelleri,-13.21,NA,1,-13.21,-13.21,NA,NA,Codium,Chlorophyta
Codium pomoides,-2.47,NA,1,-2.47,-2.47,NA,NA,Codium,Chlorophyta
Codium setchellii,-14.51825,NA,1,-14.52,-14.52,NA,NA,Codium,Chlorophyta
Codium sp. 1,-15.6,NA,1,-15.6,-15.6,NA,NA,Codium,Chlorophyta
Codium sp. 2,-15.76,NA,1,-15.76,-15.76,NA,NA,Codium,Chlorophyta
Codium sp. 3,-12.165,2.305,2,-14.47,-9.86,3.2597622613,10.62605,Codium,Chlorophyta
Codium sp. 4,-10.86,NA,1,-10.86,-10.86,NA,NA,Codium,Chlorophyta
Codium tomentosum,-14,NA,1,-14,-14,NA,NA,Codium,Chlorophyta
Dictyosphaeria sericea,-6.33,NA,1,-6.33,-6.33,NA,NA,Dictyosphaeria,Chlorophyta
Flabellia petiolata,-31.1,1.5,2,-32.6,-29.6,2.1213203436,4.5,Flabellia,Chlorophyta
Halimeda cylindracea,-9.8,NA,1,-9.8,-9.8,NA,NA,Halimeda,Chlorophyta
Halimeda distorta,-4.2525,1.015894662,8,-7.79,-0.64,2.8733840179,8.2563357143,Halimeda,Chlorophyta
Halimeda macroloba,-18,3.2,2,-21.2,-14.8,4.5254833996,20.48,Halimeda,Chlorophyta
Halimeda opuntia,-17.05,2.65,2,-19.7,-14.4,3.7476659403,14.045,Halimeda,Chlorophyta
Halimeda sp. 1,-11.33,NA,1,-11.33,-11.33,NA,NA,Halimeda,Chlorophyta
Halimeda sp. 2,-6.83,NA,1,-6.83,-6.83,NA,NA,Halimeda,Chlorophyta
Halimeda tuna,-19.3,NA,1,-19.3,-19.3,NA,NA,Halimeda,Chlorophyta
Microdictyon umbilicatum,-19.0516666667,0.1112180041,6,-19.44,-18.73,0.2724273603,0.0742166667,Microdictyon,Chlorophyta
Monostroma hariotii,-18.8366666667,2.329165325,3,-23.3,-15.45,4.0342326821,16.2750333333,Monostroma,Chlorophyta
Monostroma latissimum,-16.9,NA,1,-16.9,-16.9,NA,NA,Monostroma,Chlorophyta
Monostroma sp. 1,-24.465,5.665,2,-30.13,-18.8,8.0115198308,64.18445,Monostroma,Chlorophyta
Monostroma sp. 2,-13.39,NA,1,-13.39,-13.39,NA,NA,Monostroma,Chlorophyta
Neomeris annulata,-13.44,NA,1,-13.44,-13.44,NA,NA,Neomeris,Chlorophyta
Neomeris vanbosseae,-10.9,NA,1,-10.9,-10.9,NA,NA,Neomeris,Chlorophyta
Pedobesia simplex,-28.23,NA,1,-28.23,-28.23,NA,NA,Pedobesia,Chlorophyta
Prasiola crispa antarctica,-16.4,NA,1,-16.4,-16.4,NA,NA,Prasiola,Chlorophyta
Prasiola stipitata,-19.53,0.8250050505,3,-21.18,-18.7,1.4289506639,2.0419,Prasiola,Chlorophyta
Rhipiliopsis peltata,-14.01,NA,1,-14.01,-14.01,NA,NA,Rhipiliopsis,Chlorophyta
Spongomorpha aeruginosa,-16.98,NA,1,-16.98,-16.98,NA,NA,Spongomorpha,Chlorophyta
Tydemania expeditionis,-9.17,NA,1,-9.17,-9.17,NA,NA,Tydemania,Chlorophyta
Ulothrix sp. 1,-11.5,NA,1,-11.5,-11.5,NA,NA,Ulothrix,Chlorophyta
Ulva australis,-13.5333333333,2.4126978906,3,-18.3,-10.5,4.1789153298,17.4633333333,Ulva,Chlorophyta
Ulva bulbosa,-17.33,NA,1,-17.33,-17.33,NA,NA,Ulva,Chlorophyta
Ulva clathrata,-14.39,0.01,2,-14.4,-14.38,0.0141421356,0.0002,Ulva,Chlorophyta
Ulva conglobata,-16.5,0.2,2,-16.7,-16.3,0.2828427125,0.08,Ulva,Chlorophyta
Ulva expansa,-19.0766666667,0.3961873855,6,-19.88,-17.42,0.970456937,0.9417866667,Ulva,Chlorophyta
Ulva flexuosa,-21.2,NA,1,-21.2,-21.2,NA,NA,Ulva,Chlorophyta
Ulva intestinalis,-15.19875,1.0591327947,8,-18.6,-8.81,2.9956799252,8.9740982143,Ulva,Chlorophyta
Ulva lactuca,-12.4941123737,2.1552763532,12,-19.57,9,7.4660962962,55.7425939036,Ulva,Chlorophyta
Ulva linza,-14.9366666667,1.5513685714,3,-17.8,-12.47,2.687049187,7.2202333333,Ulva,Chlorophyta
Ulva prolifera,-15.7,1.960442127,3,-18,-11.8,3.3955853693,11.53,Ulva,Chlorophyta
Ulva rigida,-16.6566666667,0.7822261679,3,-17.57,-15.1,1.3548554658,1.8356333333,Ulva,Chlorophyta
Ulva sp. 1,-14.9875,0.8829908927,4,-16.75,-12.66,1.7659817855,3.1186916667,Ulva,Chlorophyta
Ulva sp. 10,-17.18,0.39,2,-17.57,-16.79,0.5515432893,0.3042,Ulva,Chlorophyta
Ulva sp. 11,-9.69,NA,1,-9.69,-9.69,NA,NA,Ulva,Chlorophyta
Ulva sp. 12,-18.7,NA,1,-18.7,-18.7,NA,NA,Ulva,Chlorophyta
Ulva sp. 13,-14.5266666667,1.0005387438,3,-15.64,-12.53,1.7329839391,3.0032333333,Ulva,Chlorophyta
Ulva sp. 14,-12.2333333333,0.1855921454,3,-12.6,-12,0.3214550254,0.1033333333,Ulva,Chlorophyta
Ulva sp. 15,-15.405,3.625,2,-19.03,-11.78,5.1265241636,26.28125,Ulva,Chlorophyta
Ulva sp. 16,-20.01,NA,1,-20.01,-20.01,NA,NA,Ulva,Chlorophyta
Ulva sp. 2,-17.2,NA,1,-17.2,-17.2,NA,NA,Ulva,Chlorophyta
Ulva sp. 3,-18.2,NA,1,-18.2,-18.2,NA,NA,Ulva,Chlorophyta
Ulva sp. 4,-14.3258823529,0.6368385027,17,-18.21,-9.36,2.6257524132,6.8945757353,Ulva,Chlorophyta
Ulva sp. 5,-14.1522222222,0.7492687309,18,-18.81,-9.4,3.1788780032,10.1052653595,Ulva,Chlorophyta
Ulva sp. 6,-13.2,NA,1,-13.2,-13.2,NA,NA,Ulva,Chlorophyta
Ulva sp. 7,-18.26,0.7930181447,9,-21.6,-13.74,2.379054434,5.6599,Ulva,Chlorophyta
Ulva sp. 8,-16.2,NA,1,-16.2,-16.2,NA,NA,Ulva,Chlorophyta
Ulva sp. 9,-18.75,1.03,2,-19.78,-17.72,1.4566399692,2.1218,Ulva,Chlorophyta
Ulva taeniata,-17.82,NA,1,-17.82,-17.82,NA,NA,Ulva,Chlorophyta
Urospora sp. 1,-16.5135,NA,1,-16.51,-16.51,NA,NA,Urospora,Chlorophyta
Valonia aegagropila,-8.6,NA,1,-8.6,-8.6,NA,NA,Valonia,Chlorophyta
Valonia clavata,-14.83,NA,1,-14.83,-14.83,NA,NA,Valonia,Chlorophyta
Valonia utricularis,-16.35,NA,1,-16.35,-16.35,NA,NA,Valonia,Chlorophyta
Valonia ventricosa,-5.61,NA,1,-5.61,-5.61,NA,NA,Valonia,Chlorophyta
Acrocarpia paniculata,-21.13,NA,1,-21.13,-21.13,NA,NA,Acrocarpia,Ochrophyta
Adenocystis utricularis,-10.9116666667,1.5322715527,6,-14.56,-5.35,3.7532834514,14.0871366667,Adenocystis,Ochrophyta
Agarum fimbriatum,-19.06,1.289507658,5,-23.58,-15.82,2.8834267808,8.31415,Agarum,Ochrophyta
Alaria esculenta,-18.16,1.6117071694,4,-22.8,-15.6,3.2234143389,10.3904,Alaria,Ochrophyta
Alaria marginata,-13.006,0.4584168409,5,-14.63,-12.06,1.0250512182,1.05073,Alaria,Ochrophyta
Analipus japonicus,-16.37,NA,1,-16.37,-16.37,NA,NA,Analipus,Ochrophyta
Ascophyllum nodosum,-17.5060714286,0.3850332698,28,-23.3,-13.37,2.0374045568,4.151017328,Ascophyllum,Ochrophyta
Ascoseira mirabilis,-18.7,NA,1,-18.7,-18.7,NA,NA,Ascoseira,Ochrophyta
Asperococcus fistulosus,-11.87,NA,1,-11.87,-11.87,NA,NA,Asperococcus,Ochrophyta
Bifurcaria bifurcata,-16.3,NA,1,-16.3,-16.3,NA,NA,Bifurcaria,Ochrophyta
Carpoglossum confluens,-15.4666666667,0.8076577933,3,-17.06,-14.44,1.3989043332,1.9569333333,Carpoglossum,Ochrophyta
Carpomitra costata,-22.535,1.5200904578,4,-26.12,-19.47,3.0401809157,9.2427,Carpomitra,Ochrophyta
Carpophyllum flexuosum,-15.9,0.9984988733,5,-18.8,-12.7,2.2327113562,4.985,Carpophyllum,Ochrophyta
Caulocystis cephalornithos,-13.81,0.01,2,-13.82,-13.8,0.0141421356,0.0002,Caulocystis,Ochrophyta
Chorda filum,-16.2166666667,0.9478912268,6,-19.89,-13.88,2.3218498372,5.3909866667,Chorda,Ochrophyta
Cladostephus spongiosus,-18.7,0.9662384109,4,-21.44,-16.96,1.9324768218,3.7344666667,Cladostephus,Ochrophyta
Colpomenia peregrina,-9.434,1.3932573345,5,-12.91,-6.14,3.11541811,9.70583,Colpomenia,Ochrophyta
Colpomenia sinuosa,-13.2566666667,0.847473369,3,-14.87,-12,1.4678669331,2.1546333333,Colpomenia,Ochrophyta
Colpomenia sp. 1,-12.2333333333,2.2183577509,3,-15.5,-8,3.842308334,14.7633333333,Colpomenia,Ochrophyta
Colpomenia sp. 2,-11.445,0.235,2,-11.68,-11.21,0.3323401872,0.11045,Colpomenia,Ochrophyta
Colpomenia sp. 3,-10.91,NA,1,-10.91,-10.91,NA,NA,Colpomenia,Ochrophyta
Cystophora grevillei,-16.99,NA,1,-16.99,-16.99,NA,NA,Cystophora,Ochrophyta
Cystophora moniliformis,-14.58,NA,1,-14.58,-14.58,NA,NA,Cystophora,Ochrophyta
Cystophora platylobium,-14.43,NA,1,-14.43,-14.43,NA,NA,Cystophora,Ochrophyta
Cystophora retroflexa,-19.2366666667,1.5407285434,6,-25.05,-15.6,3.7739987635,14.2430666667,Cystophora,Ochrophyta
Cystophora scalaris,-13.4,NA,1,-13.4,-13.4,NA,NA,Cystophora,Ochrophyta
Cystophora siliquosa,-14.135,0.015,2,-14.15,-14.12,0.0212132034,0.00045,Cystophora,Ochrophyta
Cystophora subfarcinata,-14.69,NA,1,-14.69,-14.69,NA,NA,Cystophora,Ochrophyta
Cystophora torulosa,-15.79,NA,1,-15.79,-15.79,NA,NA,Cystophora,Ochrophyta
Cystoseira baccata,-16.6,NA,1,-16.6,-16.6,NA,NA,Cystoseira,Ochrophyta
Cystoseira balearica,-20.35,NA,1,-20.35,-20.35,NA,NA,Cystoseira,Ochrophyta
Cystoseira ericoides,-18.4,NA,1,-18.4,-18.4,NA,NA,Cystoseira,Ochrophyta
Cystoseira nodicaulis,-19.88,NA,1,-19.88,-19.88,NA,NA,Cystoseira,Ochrophyta
Cystoseira osmundacea,-16.76,NA,1,-16.76,-16.76,NA,NA,Cystoseira,Ochrophyta
Cystoseira sp. 1,-19.7,NA,1,-19.7,-19.7,NA,NA,Cystoseira,Ochrophyta
Cystoseira sp. 2,-16.8866666667,0.4949298491,9,-18.6,-13.2,1.4847895474,2.2046,Cystoseira,Ochrophyta
Cystoseira sp. 3,-18.77,NA,1,-18.77,-18.77,NA,NA,Cystoseira,Ochrophyta
Cystoseira tamariscifolia,-15.76,0.42,2,-16.18,-15.34,0.5939696962,0.3528,Cystoseira,Ochrophyta
Cystosphaera jacquinotii,-27.9971428571,0.1976133103,7,-28.86,-27.17,0.5228356748,0.2733571429,Cystosphaera,Ochrophyta
Desmarestia aculeata,-22.5808333333,0.7791413867,12,-26.93,-17.94,2.6990249362,7.2847356061,Desmarestia,Ochrophyta
Desmarestia anceps,-28.65,0.9070170891,5,-30.68,-25.3,2.0281518681,4.1134,Desmarestia,Ochrophyta
Desmarestia antarctica,-16.285,2.285,2,-18.57,-14,3.23147799,10.44245,Desmarestia,Ochrophyta
Desmarestia ligulata,-21.1333333333,0.8412952976,3,-22.8,-20.1,1.4571661996,2.1233333333,Desmarestia,Ochrophyta
Desmarestia menziesii,-21.65125,0.7071230381,8,-25,-19.32,2.0000459816,4.0001839286,Desmarestia,Ochrophyta
Desmarestia munda,-20.2175,2.1682149916,4,-25.59,-15.15,4.3364299833,18.804625,Desmarestia,Ochrophyta
Desmarestia sp. 1,-23.6,NA,1,-23.6,-23.6,NA,NA,Desmarestia,Ochrophyta
Desmarestia viridis,-28.7,NA,1,-28.7,-28.7,NA,NA,Desmarestia,Ochrophyta
Dictyopteris muelleri,-19.08,0.8074342078,4,-21.05,-17.1,1.6148684157,2.6078,Dictyopteris,Ochrophyta
Dictyopteris polypodioides,-16.18,0.06,2,-16.24,-16.12,0.0848528137,0.0072,Dictyopteris,Ochrophyta
Dictyosiphon hippuroides,-13.24,NA,1,-13.24,-13.24,NA,NA,Dictyosiphon,Ochrophyta
Dictyota cervicornis,-15.06,NA,1,-15.06,-15.06,NA,NA,Dictyota,Ochrophyta
Dictyota dichotoma,-17.9855555556,0.5369722502,9,-21.13,-15.89,1.6109167507,2.5950527778,Dictyota,Ochrophyta
Dictyota dichotoma implexa,-18.58,NA,1,-18.58,-18.58,NA,NA,Dictyota,Ochrophyta
Dictyota friabilis,-17.49,2.11,2,-19.6,-15.38,2.9839906166,8.9042,Dictyota,Ochrophyta
Dictyota kunthii,-19.05,2.05,2,-21.1,-17,2.8991378029,8.405,Dictyota,Ochrophyta
Dictyota menstrualis,-18.402,0.5247418413,5,-19.45,-17,1.1733584278,1.37677,Dictyota,Ochrophyta
Dictyota pulchella,-17.72,NA,1,-17.72,-17.72,NA,NA,Dictyota,Ochrophyta
Dictyota sp. 1,-19.315,1.915,2,-21.23,-17.4,2.7082189719,7.33445,Dictyota,Ochrophyta
Dilophus sp. 1,-16.75,NA,1,-16.75,-16.75,NA,NA,Dilophus,Ochrophyta
Distromium flabellatrum,-20.88,NA,1,-20.88,-20.88,NA,NA,Distromium,Ochrophyta
Durvillaea antarctica,-13.205,0.885,2,-14.09,-12.32,1.2515790027,1.56645,Durvillaea,Ochrophyta
Durvillaea potatorum,-17.625,1.045,2,-18.67,-16.58,1.4778531727,2.18405,Durvillaea,Ochrophyta
Durvillaea willana,-14.1,1.51,2,-15.61,-12.59,2.1354624792,4.5602,Durvillaea,Ochrophyta
Ecklonia radiata,-18.8355980861,0.5583892818,19,-23.29,-15.64,2.4339624505,5.9241732106,Ecklonia,Ochrophyta
Ectocarpus siliquosa,-15.26,NA,1,-15.26,-15.26,NA,NA,Ectocarpus,Ochrophyta
Ectocarpus sp. 1,-13.75,0.05,2,-13.8,-13.7,0.0707106781,0.005,Ectocarpus,Ochrophyta
Egregia menziesii,-17.032,0.8236892618,5,-19.35,-14.27,1.8418251817,3.39232,Egregia,Ochrophyta
Elachista fucicola,-15.38,NA,1,-15.38,-15.38,NA,NA,Elachista,Ochrophyta
Endarachne bighameiae,-15.95,NA,1,-15.95,-15.95,NA,NA,Endarachne,Ochrophyta
Fucus ceranoides,-17.145,1.845,2,-18.99,-15.3,2.6092240226,6.80805,Fucus,Ochrophyta
Fucus distichus,-14.77,0.9051335076,6,-18.16,-11.5,2.2171152428,4.9156,Fucus,Ochrophyta
Fucus evanescens,-13.9,NA,1,-13.9,-13.9,NA,NA,Fucus,Ochrophyta
Fucus gardneri,-14.37025,NA,1,-14.37,-14.37,NA,NA,Fucus,Ochrophyta
Fucus serratus,-17.1895652174,0.4091891521,23,-21,-13.1,1.9624022344,3.8510225296,Fucus,Ochrophyta
Fucus sp. 1,-16.35,0.05,2,-16.4,-16.3,0.0707106781,0.005,Fucus,Ochrophyta
Fucus spiralis,-17.0783333333,0.7247233885,12,-19.9,-10.67,2.5105154608,6.3026878788,Fucus,Ochrophyta
Fucus vesiculosus,-16.7659259259,0.407603747,27,-22.6,-13.5,2.1179711977,4.4858019943,Fucus,Ochrophyta
